Date,Average,Gdp Per Capita
18-04-2007,7,1017.86
23-04-2007,7,1015.425
25-04-2007,7,1012.989
27-04-2007,7,1013.337
29-04-2007,7,1013.685
01-05-2007,7,1014.033
03-05-2007,7,1014.381
05-05-2007,7,1014.729
07-05-2007,7,1015.077
09-05-2007,7,1015.425
12-05-2007,7,1012.989
14-05-2007,7,1010.553
16-05-2007,7,1010.901
19-05-2007,7,1011.249
21-05-2007,7,1011.597
23-05-2007,7,1011.945
26-05-2007,7,1012.293
28-05-2007,7,1012.641
30-05-2007,7,1012.989
02-06-2007,7,1010.553
07-06-2007,7,1008.118
13-06-2007,7,1008.466
19-06-2007,7,1008.814
24-06-2007,7,1009.162
30-06-2007,7,1009.509
06-07-2007,7,1009.857
11-07-2007,7,1010.205
17-07-2007,7,1010.553
23-07-2007,7,1008.118
25-07-2007,7,1005.682
27-07-2007,7,1006.03
29-07-2007,7,1006.378
31-07-2007,7,1006.726
03-08-2007,7,1007.074
05-08-2007,7,1007.422
07-08-2007,7,1007.77
09-08-2007,7,1008.118
12-08-2007,7,1005.682
15-08-2007,7,1003.246
18-08-2007,7,1003.594
22-08-2007,7,1003.942
25-08-2007,7,1004.29
29-08-2007,7,1004.638
01-09-2007,7,1004.986
05-09-2007,7,1005.334
08-09-2007,7,1005.682
12-09-2007,7,1003.246
17-09-2007,7,1000.81
22-09-2007,7,1001.158
28-09-2007,7,1001.506
03-10-2007,7,1001.854
09-10-2007,7,1002.202
14-10-2007,7,1002.55
20-10-2007,7,1002.898
25-10-2007,7,1003.246
31-10-2007,7,1000.81
03-11-2007,7,998.374
06-11-2007,7,998.722
10-11-2007,7,999.07
13-11-2007,7,999.418
16-11-2007,7,999.766
20-11-2007,7,1000.114
23-11-2007,7,1000.462
26-11-2007,7,1000.81
30-11-2007,7,998.374
02-12-2007,7,995.939
04-12-2007,7,996.287
06-12-2007,7,996.635
08-12-2007,7,996.983
11-12-2007,7,997.33
13-12-2007,7,997.678
15-12-2007,7,998.026
17-12-2007,7,998.374
20-12-2007,7,995.939
24-12-2007,7,993.503
29-12-2007,7,993.851
02-01-2008,7,994.199
07-01-2008,7,994.547
11-01-2008,7,994.895
16-01-2008,7,995.243
20-01-2008,7,995.591
25-01-2008,7,995.939
30-01-2008,7,993.503
01-02-2008,7,993.503
03-02-2008,7,994.731
05-02-2008,7,995.959
07-02-2008,7,997.187
10-02-2008,7,998.414
12-02-2008,7,999.642
14-02-2008,7,1000.87
16-02-2008,7,1002.098
19-02-2008,7,1002.098
21-02-2008,7,1002.098
23-02-2008,7,1003.326
25-02-2008,7,1004.553
27-02-2008,7,1005.781
29-02-2008,7,1007.009
02-03-2008,7,1008.237
04-03-2008,7,1009.464
06-03-2008,7,1010.692
09-03-2008,7,1010.692
14-03-2008,7,1010.692
19-03-2008,7,1011.92
24-03-2008,7,1013.147
29-03-2008,7,1014.375
03-04-2008,7,1015.603
08-04-2008,7,1016.831
13-04-2008,7,1018.058
18-04-2008,7,1019.286
23-04-2008,7,1019.286
25-04-2008,7,1019.286
27-04-2008,7,1020.514
29-04-2008,7,1021.742
01-05-2008,7,1022.97
03-05-2008,7,1024.197
05-05-2008,7,1025.425
07-05-2008,7,1026.653
09-05-2008,7,1027.881
12-05-2008,7,1027.881
14-05-2008,7,1027.881
16-05-2008,7,1029.109
19-05-2008,7,1030.337
21-05-2008,7,1031.565
23-05-2008,7,1032.792
26-05-2008,7,1034.02
28-05-2008,7,1035.248
30-05-2008,7,1036.476
02-06-2008,7,1036.476
07-06-2008,7,1036.476
13-06-2008,7,1037.704
19-06-2008,7,1038.931
24-06-2008,7,1040.159
30-06-2008,7,1041.387
06-07-2008,7,1042.615
11-07-2008,7,1043.842
17-07-2008,7,1045.07
23-07-2008,7,1045.07
25-07-2008,7,1045.07
27-07-2008,7,1046.298
29-07-2008,7,1047.525
31-07-2008,7,1048.753
03-08-2008,7,1049.981
05-08-2008,7,1051.209
07-08-2008,7,1052.436
09-08-2008,7,1053.664
12-08-2008,7,1053.664
15-08-2008,7,1053.664
18-08-2008,7,1054.892
22-08-2008,7,1056.12
25-08-2008,7,1057.348
29-08-2008,7,1058.575
01-09-2008,7,1059.803
05-09-2008,7,1061.031
08-09-2008,7,1062.259
12-09-2008,7,1062.259
17-09-2008,7,1062.259
22-09-2008,7,1063.487
28-09-2008,7,1064.715
03-10-2008,7,1065.943
09-10-2008,7,1067.17
14-10-2008,7,1068.398
20-10-2008,7,1069.626
25-10-2008,7,1070.854
31-10-2008,7,1070.854
03-11-2008,7,1070.854
06-11-2008,7,1072.082
10-11-2008,7,1073.309
13-11-2008,7,1074.537
16-11-2008,7,1075.765
20-11-2008,7,1076.993
23-11-2008,7,1078.22
26-11-2008,7,1079.448
30-11-2008,7,1079.448
02-12-2008,7,1079.448
04-12-2008,6.857,1080.676
06-12-2008,6.714,1081.903
08-12-2008,6.571,1083.131
11-12-2008,6.429,1084.359
13-12-2008,6.286,1085.587
15-12-2008,6.143,1086.814
17-12-2008,6,1088.042
20-12-2008,6,1088.042
24-12-2008,6,1088.042
29-12-2008,5.857,1089.27
02-01-2009,5.714,1090.498
07-01-2009,5.571,1091.726
11-01-2009,5.429,1092.953
16-01-2009,5.286,1094.181
20-01-2009,5.143,1095.409
25-01-2009,5,1096.637
30-01-2009,5,1096.637
01-02-2009,5,1096.637
